Téléchargé sur lestransactions.fr sous Licence CC-BY-NC-SA
ISIN;Société;Déclarant;Date;Nature;Instrument;Prix;Volume;Total;Total en part de la capitalisation (x%);Monnaie;pdf
FR0004175099;TRONIC'S MICROSYSTEMS S.A.;SERCEL HOLDING SAS, membre du conseil de surveillance;2016-12-14;Cession;Action;13.2;320727;4233596;8.819992499999998;Euros;http://www.amf-france.org/technique/multimedia?docId=06c8c43e-bad9-4236-a23a-e1e620cb6af9&famille=BDIF&bdifId=739064DD7102_2017DD460937
FR0000053142;FAIVELEY TRANSPORT;Pauline RAVIT personne liée à Olivier RAVIT, Fille;2016-12-08;Cession;Action;100.0;120;12000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=3756f4b7-71ec-40f0-8da0-6ed9d24d2b15&famille=BDIF&bdifId=929064DD7102_2017DD460929
FR0000053142;FAIVELEY TRANSPORT;"Olivier RAVIT, Energy &amp; Comfort Group President";2017-01-02;Cession;Options de souscription;100.0;1000;100000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=0cb733c2-2065-4407-b366-fb5c171c9f1b&famille=BDIF&bdifId=829064DD7102_2017DD460928
FR0004027068;LANSON-BCC;FIAG HOLDING sas, administrateur;2016-12-30;Acquisition;Action;33.77;43268;1461187;0.6113754711297072;Euros;http://www.amf-france.org/technique/multimedia?docId=a289d55b-2273-4add-87c9-a0116c7f4cd1&famille=BDIF&bdifId=529064DD7102_2017DD460925
FR0004027068;LANSON-BCC;FIAG HOLDING sas, adminitrateur;2016-12-29;Acquisition;Action;33.7658;58549;1976984;0.827190047456067;Euros;http://www.amf-france.org/technique/multimedia?docId=f843abe6-121b-4298-a94b-c0cdba63810c&famille=BDIF&bdifId=129064DD7102_2017DD460921
FR0012333284;ABIVAX;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2016-12-30;Cession;Action;6.3071;3806;24004;0.047068279607843135;Euros;http://www.amf-france.org/technique/multimedia?docId=10f4ae6d-6527-4e05-88bb-80315c163037&famille=BDIF&bdifId=419064DD7102_2017DD460914
FR0010907956;CARMAT;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2016-12-30;Cession;Action;28.7121;680;19524;0.011220820689655171;Euros;http://www.amf-france.org/technique/multimedia?docId=342ba0e1-0a78-475c-85e0-9b52dc710810&famille=BDIF&bdifId=319064DD7102_2017DD460913
FR0000130577;PUBLICIS GROUPE SA;Anne-gabrielle Heilbronner, Membre du Directoire;2016-12-29;Exercice;Option d'achat;52.76;13607;717905;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=c2eb31f2-a10c-47eb-819d-c7e7a35c9f73&famille=BDIF&bdifId=198064DD7102_2017DD460891
FR0000130577;PUBLICIS GROUPE SA;Anne-gabrielle Heilbronner, Membre du Directoire;2016-12-29;Cession;Action;65.5937;13607;892533;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=c2eb31f2-a10c-47eb-819d-c7e7a35c9f73&famille=BDIF&bdifId=198064DD7102_2017DD460891
FR0000073298;IPSOS;Henri WALLARD, Directeur général délégué (Membre du MBEC);2016-12-29;Acquisition;Action;0.25;13355;3338;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=a3ae738c-7012-460a-bcdf-20e38d7a1fa1&famille=BDIF&bdifId=938064DD7102_2017DD460839
FR0000073298;IPSOS;"DT &amp; Partners SAS personne morale liée à Didier TRUCHOT, Président-Directeur général";2016-12-29;Acquisition;Action;0.25;4403085;1100771;0.07913524442846873;Euros;http://www.amf-france.org/technique/multimedia?docId=c74d99d9-c14a-4824-8a7d-6e0e8dbbdc4a&famille=BDIF&bdifId=328064DD7102_2017DD460823
FR0000073298;IPSOS;Didier TRUCHOT, Président-Directeur général;2016-12-29;Acquisition;Action;0.25;227193;56798;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=cd9f3cb3-8bda-4c89-a987-541eef9dcf30&famille=BDIF&bdifId=708064DD7102_2017DD460807
FR0000054694;NATUREX;SOCIETE FINANCIERE DES SUCRES , Actionnaire, personne morale liée à Olivier et Paul Lippens, administrateurs;2016-12-29;Acquisition;Action;84.0;100;8400;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=12403976-170f-4b18-a8d9-101f2a1b62a5&famille=BDIF&bdifId=208064DD7102_2017DD460802
FR0000054694;NATUREX;SOCIETE FINANCIERE DES SUCRES , Actionnaire, personne morale liée à Olivier et Paul Lippens, administrateurs;2016-12-30;Acquisition;Action;83.9978;46;3863;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=12403976-170f-4b18-a8d9-101f2a1b62a5&famille=BDIF&bdifId=208064DD7102_2017DD460802
FR0000054694;NATUREX;SGD , Actionnaire, personne morale liée à Olivier et Paul Lippens, administrateurs;2016-12-29;Acquisition;Action;84.0;300;25200;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=38d98121-c619-43af-ab9a-15e76e316719&famille=BDIF&bdifId=008064DD7102_2017DD460800
FR0000054694;NATUREX;SGD , Actionnaire, personne morale liée à Olivier et Paul Lippens, administrateurs;2016-12-30;Acquisition;Action;83.9978;138;11591;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=38d98121-c619-43af-ab9a-15e76e316719&famille=BDIF&bdifId=008064DD7102_2017DD460800
FR0004191674;DIRECT ENERGIE;Emma loux personne liée à sebastien loux, DGD;2016-12-28;Cession;Action;35.31;498;17584;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=606b72af-4078-46eb-abfe-f0f19c123f04&famille=BDIF&bdifId=697064DD7102_2017DD460796
FR0004191674;DIRECT ENERGIE;Thomas loux personne liée à Sébastien Loux, DGD;2016-12-28;Cession;Action;35.3183;424;14974;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=79948453-33ac-47be-ac10-d04d3a883d71&famille=BDIF&bdifId=597064DD7102_2017DD460795
FR0004191674;DIRECT ENERGIE;Adrien loux personne liée à sebastien loux, DGD;2016-12-28;Cession;Action;35.3235;500;17661;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=fa3670ba-ce19-49b6-ac86-fc4d701af344&famille=BDIF&bdifId=497064DD7102_2017DD460794
FR0004191674;DIRECT ENERGIE;ana loux personne liée à Sebastien Loux, DGD;2016-12-28;Cession;Action;35.31;500;17655;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=6ebfb2dd-0766-47f1-bbaa-baeb1120a59b&famille=BDIF&bdifId=397064DD7102_2017DD460793
FR0004040608;ABC ARBITRAGE;FINANCIERE WDD S.A. Société Anonyme à Conseil d'Administration personne morale liée à DOMINIQUE CEOLIN, Président;2016-12-29;Acquisition;Action;7.1373;2000;14274;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=6584cf1b-b182-4ac9-a9c1-e2599b6d89e3&famille=BDIF&bdifId=887064DD7102_2017DD460788
FR0004040608;ABC ARBITRAGE;FINANCIERE WDD S.A. Société Anonyme à Conseil d'Administration personne morale liée à DOMINIQUE CEOLIN, Président;2016-12-30;Acquisition;Action;7.1809;2000;14361;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=6584cf1b-b182-4ac9-a9c1-e2599b6d89e3&famille=BDIF&bdifId=887064DD7102_2017DD460788
FR0000073298;IPSOS;Pascal CROMBACK, Représentant permanent d'un Administrateur;2016-12-29;Souscription;Action;0.25;157;39;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=f87360ec-22cb-40ef-aed6-8fcb765e1290&famille=BDIF&bdifId=402164DD7102_2017DD461204
FR0000031684;"ROTHSCHILD &amp; CO";"Stéphane Moal, othschild &amp; Co Gestion SAS, elle-même Gérant de Rothschild &amp; Co SCA Directeur exécutif de Rothschild &amp; Co";2017-01-02;Acquisition;Action;28.195;14357;404795;0.019726881822612084;Euros;http://www.amf-france.org/technique/multimedia?docId=cf087b4a-009f-4df5-b8f3-ebca4ae60105&famille=BDIF&bdifId=971164DD7102_2017DD461179
FR0000031684;"ROTHSCHILD &amp; CO";"Stéphane Moal, othschild &amp; Co Gestion SAS, elle-même Gérant de Rothschild &amp; Co SCA Directeur exécutif de Rothschild &amp; Co";2017-01-02;Cession;Action;25.79;6748;174030;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=cf087b4a-009f-4df5-b8f3-ebca4ae60105&famille=BDIF&bdifId=971164DD7102_2017DD461179
FR0010417345;DBV TECHNOLOGIES;Pierre-Henri BENHAMOU, PDG;2017-01-03;Cession;Action;67.8917;4784;324793;0.021696318824315296;Euros;http://www.amf-france.org/technique/multimedia?docId=9c7b6d2b-793a-4ce6-a77e-1a1c4459e128&famille=BDIF&bdifId=871164DD7102_2017DD461178
FR0004165801;LES HOTELS DE PARIS;Patrick MACHEFERT, President;2016-12-30;Acquisition;Action;2.0;753000;1506000;11.584615384615384;Euros;http://www.amf-france.org/technique/multimedia?docId=99ff177a-2b17-41c1-89e1-fdbdb1cb201c&famille=BDIF&bdifId=771164DD7102_2017DD461177
FR0010417345;DBV TECHNOLOGIES;Pierre-Henri BENHAMOU, PDG;2017-01-02;Cession;Action;68.5797;1832;125638;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=41c8542f-79ca-4332-b771-69e801b5abc4&famille=BDIF&bdifId=671164DD7102_2017DD461176
FR0010907956;CARMAT;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-02;Cession;Action;29.4532;1505;44327;0.02547532528735632;Euros;http://www.amf-france.org/technique/multimedia?docId=35b18a90-d8d1-4b1e-9c1a-a09f4dadeb0a&famille=BDIF&bdifId=271164DD7102_2017DD461172
FR0012333284;ABIVAX;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-02;Cession;Action;6.2844;1937;12172;0.023868397647058823;Euros;http://www.amf-france.org/technique/multimedia?docId=ca3f7759-f6c3-49a6-972b-9e869324b4f8&famille=BDIF&bdifId=071164DD7102_2017DD461170
BE0974302342;PHARMASIMPLE;Michael WILLEMS, Président Directeur Général;2017-01-02;Acquisition;Action;9.8;97;950;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=b2b6ed8c-b5c8-416b-b8e1-67ac3a9b7c26&famille=BDIF&bdifId=330164DD7102_2017DD461033
FR0000121667;ESSILOR INTERNATIONAL;Laurent VACHEROT, MANDATAIRE SOCIAL;2016-12-23;Souscription;Action;13.1843;2212;29163;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=e639f2ef-1c0f-4958-89c2-01dfc7ed5fd9&famille=BDIF&bdifId=320164DD7102_2017DD461023
FR0000073298;IPSOS;Succession Carlos HARDING Indivision personne morale liée à Carlos HARDING, Directeur général délégué (Membre du MBEC);2016-12-29;Souscription;Action;0.25;47136;11784;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=b99e6b78-81f2-4086-bd50-92f678ac195c&famille=BDIF&bdifId=610164DD7102_2017DD461016
FR0011490648;ECOSLOPS S.A.;"CFB &#160;personne morale liée à VINCENT FAVIER, PDG";2016-12-20;Acquisition;Action;8.2;11000;90199;0.2652941176470588;Euros;http://www.amf-france.org/technique/multimedia?docId=1f8ec1ef-df87-44e5-bc0b-7e334e828074&famille=BDIF&bdifId=210164DD7102_2017DD461012
FR0000073298;IPSOS;Henry LETULLE, Administrateur;2016-12-29;Souscription;Action;0.25;3928;982;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=e7cfe5ce-70b8-4436-86a6-f6a287856fd8&famille=BDIF&bdifId=200164DD7102_2017DD461002
FR0000073298;IPSOS;"Laurence &#160;STOCLET, Directeur général délégué (Membre du MBEC)";2016-12-29;Souscription;Action;0.25;3928;982;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=60d8f6eb-dba9-400d-b5e6-4bbcbd96370d&famille=BDIF&bdifId=000164DD7102_2017DD461000
FR0011490648;ECOSLOPS S.A.;olivier fortesa, ADMINISTRATEUR;2016-12-20;Acquisition;Action;8.2;1830;15005;0.04413529411764705;Euros;http://www.amf-france.org/technique/multimedia?docId=dec3ff02-2a8f-4658-a883-4120758af2fd&famille=BDIF&bdifId=999064DD7102_2017DD460999
FR0004191674;DIRECT ENERGIE;Thomas loux personne liée à sebastien loux, Dgd;2016-12-13;Cession;Action;34.0;76;2584;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=656f8bce-d111-434e-9b4b-855405c4ae3d&famille=BDIF&bdifId=789064DD7102_2017DD460987
FR0000131104;BNP PARIBAS;JEAN-LAURENT BONNAFE, Directeur Général;2016-12-23;recorrélation du FCP Actionnariat au cours de l'action par création de nouvelles parts;FCP;61.17;913;55865;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=f577066f-58c4-40c7-8e75-c71b707fe1d4&famille=BDIF&bdifId=764164DD7102_2017DD461467
FR0000131104;STALLERGENES GREER PLC;OLIVIER DE LA BONNINIERE DE BEAUMONT, SENIOR VICE PRESIDENT MEDICAL AFFAIR;2017-01-04;Cession;Action;32.0;152;4864;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=4c996494-ba6d-49f6-9d14-3a8957efcfe9&famille=BDIF&bdifId=154164DD7102_2017DD461451
FR0004027068;LANSON-BCC;FIAG HOLDING sas, administrateur;2017-01-04;Acquisition;Action;33.7369;13359;450718;0.18858517740125522;Euros;http://www.amf-france.org/technique/multimedia?docId=9a6e0567-2a4b-484c-9754-4a84a7156732&famille=BDIF&bdifId=744164DD7102_2017DD461447
FR0012333284;ABIVAX;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-03;Cession;Action;6.2328;10268;63998;0.12548704;Euros;http://www.amf-france.org/technique/multimedia?docId=2c508ed8-19ca-4520-83b6-838bb091f476&famille=BDIF&bdifId=144164DD7102_2017DD461441
FR0010377127;DIETSWELL;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-03;Cession;Action;0.92;1900;1748;0.03496;Euros;http://www.amf-france.org/technique/multimedia?docId=8f2829b7-405c-4258-8940-d71034d1f577&famille=BDIF&bdifId=044164DD7102_2017DD461440
FR0010907956;CARMAT;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-03;Cession;Action;30.1128;751;22614;0.012996961379310347;Euros;http://www.amf-france.org/technique/multimedia?docId=64d52c19-04c3-4694-86e2-dc92c5f3972e&famille=BDIF&bdifId=934164DD7102_2017DD461439
FR0000054470;UBISOFT ENTERTAINMENT;Christine BURGESS, directeur general;2017-01-03;Cession;Action;34.0577;24005;817555;0.023055699055273545;Euros;http://www.amf-france.org/technique/multimedia?docId=a54130d4-991f-4a58-b621-5d038e637863&famille=BDIF&bdifId=363164DD7102_2017DD461363
FR0000054470;UBISOFT ENTERTAINMENT;Christine BURGESS, Directeur General adjoint;2017-01-02;Cession;Action;34.0104;6480;220387;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=81952783-c715-4bb2-a22a-c0abe715f611&famille=BDIF&bdifId=753164DD7102_2017DD461357
FR0000054470;UBISOFT ENTERTAINMENT;Christine BURGESS, Directeur General adjoint;2017-01-02;Acquisition;Option d'achat;8.9011;4230;37651;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=81952783-c715-4bb2-a22a-c0abe715f611&famille=BDIF&bdifId=753164DD7102_2017DD461357
FR0011490648;ECOSLOPS S.A.;Olivier Le Bihan, membre CA;2016-12-20;Acquisition;Action;8.2;6000;49199;0.14470588235294116;Euros;http://www.amf-france.org/technique/multimedia?docId=de815231-4e8c-4e33-9a77-cefb56ab4039&famille=BDIF&bdifId=252164DD7102_2017DD461252
FR0000073298;IPSOS;FFP INVEST Société par actions simplifiée, Administrateur;2016-12-29;Attribution d'actions Ipsos à l'occasion de la fusion par absorption de la société LT Participations;Action;0.25;924327;231081;0.01661263479511143;Euros;http://www.amf-france.org/technique/multimedia?docId=a340df4c-ef99-4cba-96ca-2a922566d7a2&famille=BDIF&bdifId=532164DD7102_2017DD461235
FR0011026749;DALET SA;Stephane SCHLAYEN, Directeur General Delegue;2016-12-16;Cession;Action;9.8606;5000;49303;0.1408657142857143;Euros;http://www.amf-france.org/technique/multimedia?docId=ce9f313a-cf21-4785-b3ef-b99c587b5010&famille=BDIF&bdifId=322164DD7102_2017DD461223
FR0011026749;DALET SA;Stephane SCHLAYEN, Directeur General Delegue;2016-12-20;Cession;Action;10.250251256281407;1990;20398;0.05828;Euros;http://www.amf-france.org/technique/multimedia?docId=ce9f313a-cf21-4785-b3ef-b99c587b5010&famille=BDIF&bdifId=322164DD7102_2017DD461223
FR0011026749;DALET SA;Stephane SCHLAYEN, Directeur General Delegue;2016-12-28;Cession;Action;9.91245730720834;5563;55143;0.15755142857142856;Euros;http://www.amf-france.org/technique/multimedia?docId=ce9f313a-cf21-4785-b3ef-b99c587b5010&famille=BDIF&bdifId=322164DD7102_2017DD461223
FR0000060329;PSB INDUSTRIES;GUSTAR FINANCE SAS personne morale liée à FRANCOIS XAVAIER ENTREMONT, ADMINISTRATEUR;2016-12-30;APPORT DE TITRES;Action;47.35;206626;9783741;5.122377539267016;Euros;http://www.amf-france.org/technique/multimedia?docId=8c4fda71-02de-494d-9296-b7f2b4d902fe&famille=BDIF&bdifId=612164DD7102_2017DD461216
FR0000073298;IPSOS;SOFINA Société anonyme de droit belge personne morale liée à Xavier Coirbay, Administrateur;2016-12-29;Souscription;Action;0.25;3179919;794979;0.05715167145938174;Euros;http://www.amf-france.org/technique/multimedia?docId=da99a622-f3f3-4882-9876-21a9bb5cba1f&famille=BDIF&bdifId=802164DD7102_2017DD461208
FR0000062978;ADL PARTNER;OLIVIER RIES, DG;2017-01-05;Cession;Action;15.581;5087;79260;0.10568072933333332;Euros;http://www.amf-france.org/technique/multimedia?docId=c1168baf-c2a0-4a80-a2ab-33c115993891&famille=BDIF&bdifId=686164DD7102_2017DD461686
FR0000062978;ADL PARTNER;OLIVIER RIES, DG;2017-01-04;Cession;Action;15.9565;626;9988;0.013318358666666667;Euros;http://www.amf-france.org/technique/multimedia?docId=fef324de-64b6-402d-babf-3f8a922be857&famille=BDIF&bdifId=676164DD7102_2017DD461676
FR0010395681;ALTUR INVESTISSEMENT;TURENNE HOLDING , Gérant;2016-12-23;Acquisition;Action;4.7440001952267075;20489;97199;0.4859991;Euros;http://www.amf-france.org/technique/multimedia?docId=61b3309b-1188-4c38-8510-4f256d85eb22&famille=BDIF&bdifId=966164DD7102_2017DD461669
FR0004035913;ILIAD;ASSOCIATION 42 Association personne morale liée à Xavier NIEL, Dirigeant;2016-12-28;Cession;Action;181.2859;6000;1087715;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=5afd9974-71fd-4d0e-b424-ccd53ea6d295&famille=BDIF&bdifId=466164DD7102_2017DD461664
FR0000073298;IPSOS;Anne MOUREN personne liée à Didier TRUCHOT, Président-Directeur général;2016-12-29;Souscription;Action;0.25;157;39;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=00dc42ac-4989-43f3-bfd5-226b496a4e6f&famille=BDIF&bdifId=056164DD7102_2017DD461650
FR0000054470;UBISOFT ENTERTAINMENT;Christine BURGESS, directeur general;2017-01-03;Cession;Action;34.0577;24005;817555;0.023055699055273545;Euros;http://www.amf-france.org/technique/multimedia?docId=b365af38-586d-4db2-be99-d0064a325f1b&famille=BDIF&bdifId=446164DD7102_2017DD461644
FR0010907956;CARMAT;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-04;Cession;Action;30.0167;1073;32207;0.018510298333333335;Euros;http://www.amf-france.org/technique/multimedia?docId=9af300fa-b4b5-4c1b-9b6d-3fe2ad8352cc&famille=BDIF&bdifId=046164DD7102_2017DD461640
FR0010377127;DIETSWELL;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-04;Cession;Action;0.92;2050;1886;0.03772;Euros;http://www.amf-france.org/technique/multimedia?docId=c3974b77-ac1c-4381-9ff0-d54b793afbd8&famille=BDIF&bdifId=936164DD7102_2017DD461639
FR0012333284;ABIVAX;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-04;Cession;Action;6.3023;4469;28164;0.05522544843137255;Euros;http://www.amf-france.org/technique/multimedia?docId=4f96b301-39e6-4321-be73-8ec99b214e56&famille=BDIF&bdifId=836164DD7102_2017DD461638
FR0000131104;BNP PARIBAS;Jean LEMIERRE, Président du conseil d'administration;2016-12-23;Recorrélation du FCP Actionnariat France par création de nouvelles parts;FCP Actionnariat France;61.17;49;3010;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=05921810-4ae6-4c01-ae3b-e93a268f0efa&famille=BDIF&bdifId=525164DD7102_2017DD461525
FR0000121204;WENDEL;Frédéric Lemoine, Président du Directoire;2017-01-03;Cession;Action;115.8522;12825;1485804;0.028306429129357973;Euros;http://www.amf-france.org/technique/multimedia?docId=08680876-4e21-472b-bd4e-a1324a90ca1e&famille=BDIF&bdifId=425164DD7102_2017DD461524
FR0000121204;WENDEL;Frédéric Lemoine, Président du Directoire;2017-01-02;Cession;Action;114.6376;13218;1515279;0.028867970981139267;Euros;http://www.amf-france.org/technique/multimedia?docId=48bf5d32-6636-4133-a876-72b59bf055b5&famille=BDIF&bdifId=225164DD7102_2017DD461522
