Téléchargé sur lestransactions.fr sous Licence CC-BY-NC-SA
ISIN;Société;Déclarant;Date;Nature;Instrument;Prix;Volume;Total;Total en part de la capitalisation (x%);Monnaie;pdf
FR0000120271;TOTAL S.A.;PATRICK POUYANNE, Président Directeur Général;2017-01-12;souscription actions en paiement du dividende;Action;41.87;755;31611;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=ab6ce823-da68-4c4b-8101-a7e4f49bcbad&famille=BDIF&bdifId=040364DD7102_2017DD463040
FR0012333284;ABIVAX;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-18;Cession;Action;6.0336;5964;35984;0.07055762823529411;Euros;http://www.amf-france.org/technique/multimedia?docId=7f77487c-38de-466b-bcda-d83b8f8a2bcb&famille=BDIF&bdifId=110364DD7102_2017DD463011
FR0004171346;NEXTEDIA;FRANCOIS THEAUDIN, DIRECTEUR GENERAL;2017-01-17;Cession;Action;1.226;15000;18390;0.1226;Euros;http://www.amf-france.org/technique/multimedia?docId=cf52e6cd-edae-4e6c-9617-1b269fe40eb4&famille=BDIF&bdifId=199264DD7102_2017DD462991
FR0004171346;NEXTEDIA;FRANCOIS THEAUDIN, DIRECTEUR GENERAL;2017-01-18;Cession;Action;1.32;30000;39600;0.264;Euros;http://www.amf-france.org/technique/multimedia?docId=cf52e6cd-edae-4e6c-9617-1b269fe40eb4&famille=BDIF&bdifId=199264DD7102_2017DD462991
FR0010785790;PLANT ADVANCED TECHNOLOGIES;eric louis joseph gontier, membre du conseil d'administration, cofondateur;2017-01-18;Cession;Action;19.96;100;1996;0.011741176470588236;Euros;http://www.amf-france.org/technique/multimedia?docId=52aaeb63-fa31-4fc6-bcf9-2d55157b4bbd&famille=BDIF&bdifId=489264DD7102_2017DD462984
FR0000121709;SEB S.A.;CERTUAL SAS personne morale liée à Pascal Girardot, Administrateur;2016-12-22;Acquisition;Action;129.1;30000;3873000;0.06349180327868853;Euros;http://www.amf-france.org/technique/multimedia?docId=0a06b6ee-c930-477e-8eb7-58a541c3cab1&famille=BDIF&bdifId=389264DD7102_2017DD462983
FR0004180537;AKKA TECHNOLOGIES;Alain TISSERAND, Administrateur;2017-01-09;Cession;Action;38.5;118;4543;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=edf5ae4d-3f32-4528-b329-cffbc86d983c&famille=BDIF&bdifId=189264DD7102_2017DD462981
FR0004180537;AKKA TECHNOLOGIES;Alain TISSERAND, Administrateur;2017-01-10;Cession;Action;38.5;1297;49934;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=edf5ae4d-3f32-4528-b329-cffbc86d983c&famille=BDIF&bdifId=189264DD7102_2017DD462981
FR0004180537;AKKA TECHNOLOGIES;Alain TISSERAND, Administrateur;2017-01-11;Cession;Action;38.0;1500;57000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=edf5ae4d-3f32-4528-b329-cffbc86d983c&famille=BDIF&bdifId=189264DD7102_2017DD462981
FR0004180537;AKKA TECHNOLOGIES;Alain TISSERAND, Administrateur;2017-01-16;Cession;Action;38.0;7085;269230;0.03438441890166028;Euros;http://www.amf-france.org/technique/multimedia?docId=edf5ae4d-3f32-4528-b329-cffbc86d983c&famille=BDIF&bdifId=189264DD7102_2017DD462981
FR0000064578;FONCIERE DES REGIONS;DFR INVESTMENT SARL S.à.r.l., Personne morale liée à M. Romolo Bardin, membre du Conseil d'Administration de FdR;2017-01-13;Souscription;Action;78.79;247208;19477518;0.3424919697555829;Euros;http://www.amf-france.org/technique/multimedia?docId=23b5df83-8c1d-4ea0-a23b-41521ba55836&famille=BDIF&bdifId=869264DD7102_2017DD462968
FR0000064578;FONCIERE DES REGIONS;ATERNO S.à r.l. S.à.r.l., Personne morale liée à la personne de M. Romolo Bardin, membre du Conseil d'Administration de FdR;2017-01-13;Souscription;Action;78.79;127349;10033827;0.17643445946896433;Euros;http://www.amf-france.org/technique/multimedia?docId=af3d4e52-fc47-4bf2-8551-b1fef882711b&famille=BDIF&bdifId=669264DD7102_2017DD462966
FR0011051598;AMOEBA;FABRICE PLASSON, Président du directoire;2017-01-17;Cession;Action;26.819129;7697;206426;0.12360888378023951;Euros;http://www.amf-france.org/technique/multimedia?docId=62147976-ecf1-434f-aab2-09ed196b6b88&famille=BDIF&bdifId=469264DD7102_2017DD462964
FR0011051598;AMOEBA;FABRICE PLASSON, President du Directoire;2016-12-30;Cession;Action;27.321837;30210;825392;0.4942471232155688;Euros;http://www.amf-france.org/technique/multimedia?docId=0b6b614a-acc6-4cbc-bfbf-8b418621e350&famille=BDIF&bdifId=269264DD7102_2017DD462962
FR0000120859;IMERYS;Blue Crest Holding SA Société Anonyme personne morale liée à Ulysses Kyriacopoulos, Administrateur;2017-01-19;Cession;Action;73.4566;20000;1469132;0.024762042811393898;Euros;http://www.amf-france.org/technique/multimedia?docId=0de60c30-d29c-42e0-9b41-7ca1896e7b42&famille=BDIF&bdifId=971364DD7102_2017DD463179
FR0011191287;PHARNEXT;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-18;Cession;Action;9.5193;3291;31328;0.03196736357142857;Euros;http://www.amf-france.org/technique/multimedia?docId=9ae8cec2-3bfc-4d85-9ed6-9f8c72af4a0c&famille=BDIF&bdifId=471364DD7102_2017DD463174
FR0010879056;DEINOVE;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-18;Cession;Action;2.21;31437;69475;0.36566194736842106;Euros;http://www.amf-france.org/technique/multimedia?docId=a6c05a25-916e-49f8-98b2-a9165c190b03&famille=BDIF&bdifId=371364DD7102_2017DD463173
FR0010907956;CARMAT;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-18;Cession;Action;29.5862;392;11597;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=187e9423-62cd-490a-a226-24a22e5cf4a6&famille=BDIF&bdifId=271364DD7102_2017DD463172
FR0011648716;CARBIOS;Jean-Claude Lumaret, Directeur Général;2017-01-19;Cession;Action;7.8;250;1950;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=65f7861e-ad11-43f8-9d21-e7a716f86f96&famille=BDIF&bdifId=961364DD7102_2017DD463169
FR0000054694;NATUREX;SOCIETE FINANCIERE DES SUCRES , Actionnaire, personne morale liée à Olivier et Paul Lippens, administrateurs;2017-01-17;Acquisition;Action;83.7889;440;36867;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=d3d1a12b-5fb0-426f-9e14-859a060aaeca&famille=BDIF&bdifId=861364DD7102_2017DD463168
FR0000054694;NATUREX;SOCIETE FINANCIERE DES SUCRES , Actionnaire, personne morale liée à Olivier et Paul Lippens, administrateurs;2017-01-18;Acquisition;Action;84.0;1;84;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=d3d1a12b-5fb0-426f-9e14-859a060aaeca&famille=BDIF&bdifId=861364DD7102_2017DD463168
FR0000054694;NATUREX;SGD , Actionnaire, personne morale liée à Olivier et Paul Lippens, administrateurs;2017-01-17;Acquisition;Action;83.7899;1321;110686;0.013922824893081762;Euros;http://www.amf-france.org/technique/multimedia?docId=946f3d8c-3741-4fd9-9ecd-c0d12e3a70fd&famille=BDIF&bdifId=761364DD7102_2017DD463167
FR0000054694;NATUREX;SGD , Actionnaire, personne morale liée à Olivier et Paul Lippens, administrateurs;2017-01-18;Acquisition;Action;84.0;2;168;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=946f3d8c-3741-4fd9-9ecd-c0d12e3a70fd&famille=BDIF&bdifId=761364DD7102_2017DD463167
FR0010207795;HARVEST;HARVEST GROUP SAS, DG;2017-01-12;Acquisition;Action;56.75997912861988;3833;217561;0.27195125;Euros;http://www.amf-france.org/technique/multimedia?docId=049571d9-af24-458b-9552-1f1e41db2231&famille=BDIF&bdifId=631364DD7102_2017DD463136
FR0012333284;ABIVAX;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-19;Cession;Action;5.9166;16874;99836;0.19575825176470588;Euros;http://www.amf-france.org/technique/multimedia?docId=5270cad7-7fb3-4297-a815-3799910c0811&famille=BDIF&bdifId=131364DD7102_2017DD463131
FR0000033219;ALTAREA;PREDICA SA Société Anonyme, Membre du conseil de surveillance;2017-01-19;Cession;Action;175.0;300000;52500000;1.9977168949771689;Euros;http://www.amf-france.org/technique/multimedia?docId=27e90378-4742-4173-a251-118591bd3e2b&famille=BDIF&bdifId=823364DD7102_2017DD463328
FR0000120271;TOTAL S.A.;PATRICK DE LA CHEVARDIERE, Membre du Comité exécutif;2016-10-07;Acquisition;FIE - TOTAL ACTIONNARIAT FRANCE;42.8906;20;883;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=bf8c4846-587a-49dd-ba0e-fcfcc3c3acff&famille=BDIF&bdifId=713364DD7102_2017DD463317
FR0000120271;TOTAL S.A.;ARNAUD BREUILLAC, Membre du Comité exécutif;2016-12-30;Souscription;"&#160;FIE - TOTAL ACTIONNARIAT France";49.284;0;39;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=3fce3345-8bfb-4b5a-9e66-66b332b9fcf2&famille=BDIF&bdifId=013364DD7102_2017DD463310
FR0000120271;TOTAL S.A.;ARNAUD BREUILLAC, Membre du Comité exécutif;2016-11-30;Souscription;"&#160;FIE - TOTAL ACTIONNARIAT France";44.9134;0;39;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=66e9d7ea-c852-4ec6-9153-69fac4f026d2&famille=BDIF&bdifId=903364DD7102_2017DD463309
FR0000120271;TOTAL S.A.;ARNAUD BREUILLAC, Membre du Comité exécutif;2016-10-31;Souscription;FIE - TOTAL ACTIONNARIAT FRANCE;43.6797;0;39;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=2b7c734f-d237-4145-a62f-61d3a10da5e0&famille=BDIF&bdifId=803364DD7102_2017DD463308
FR0000120271;TOTAL S.A.;ARNAUD BREUILLAC, Membre du Comité exécutif;2016-10-07;Acquisition;FIE - TOTAL ACTIONNARIAT FRANCE;42.8998;21;913;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=4d594302-92a3-4770-a158-912c3a9c2d3a&famille=BDIF&bdifId=703364DD7102_2017DD463307
FR0000120271;TOTAL S.A.;ARNAUD BREUILLAC, Membre du Comité exécutif;2016-09-30;Souscription;Parts de Fonds Commun de Placement d'Entreprise - Fonds D'Actionnariat;42.7414;0;39;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=b6c5b3c3-8dd8-4420-ac6b-e4f6d7c45311&famille=BDIF&bdifId=503364DD7102_2017DD463305
FR0000120271;TOTAL S.A.;MOMAR NGUER, Membre du Comité exécutif;2016-12-02;Cession;"&#160;FIE - TOTAL ACTIONNARIAT France";44.8633;621;27876;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=74a05b31-a3de-4b61-9afa-388af7427140&famille=BDIF&bdifId=492364DD7102_2017DD463294
FR0000120271;TOTAL S.A.;MOMAR NGUER, Membre du Comité exécutif;2016-10-20;Souscription;FIE - TOTAL ACTIONNARIAT FRANCE;44.8386;0;11;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=43346da9-2c39-4468-864c-3b5e18abbbce&famille=BDIF&bdifId=392364DD7102_2017DD463293
FR0000120271;TOTAL S.A.;MOMAR NGUER, Membre du Comité exécutif;2016-10-07;Acquisition;FIE - TOTAL ACTIONNARIAT FRANCE;42.8902;39;1709;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=6398fb5b-4b5c-4b9a-9e1c-94f1ad76eac9&famille=BDIF&bdifId=292364DD7102_2017DD463292
FR0011490648;ECOSLOPS S.A.;GEMMES VENTURE sa, administrateur;2017-01-19;Acquisition;Action;8.2;14630;119966;0.3528411764705882;Euros;http://www.amf-france.org/technique/multimedia?docId=05cf0632-4aee-4571-98fd-f52142cedd72&famille=BDIF&bdifId=192364DD7102_2017DD463291
FR0011051598;AMOEBA;FABRICE PLASSON, Président du directoire;2017-01-20;Cession;Action;26.5;106000;2809000;1.6820359281437125;Euros;http://www.amf-france.org/technique/multimedia?docId=f7f755e7-607c-4136-92f3-01589f04851b&famille=BDIF&bdifId=782364DD7102_2017DD463287
FR0011051598;AMOEBA;FABRICE PLASSON, Président du directoire;2017-01-20;Cession;Action;26.3159;2875;75658;0.04530431886227544;Euros;http://www.amf-france.org/technique/multimedia?docId=3943a472-b029-462d-9fc3-8ecaa51883c8&famille=BDIF&bdifId=682364DD7102_2017DD463286
FR0000120271;TOTAL S.A.;PHILIPPE SAUQUET, Membre du Comité exécutif;2016-12-30;Souscription;"&#160;FIE - TOTAL ACTIONNARIAT France";49.284;0;32;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=7d59a7f6-e950-445f-8fc5-0ef6f697eb7c&famille=BDIF&bdifId=082364DD7102_2017DD463280
FR0000120271;TOTAL S.A.;PHILIPPE SAUQUET, Membre du Comité exécutif;2016-11-30;Souscription;"&#160;FIE - TOTAL ACTIONNARIAT France";44.9134;0;32;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=bba447b4-b116-471a-aafd-a4d6f02a4dd3&famille=BDIF&bdifId=972364DD7102_2017DD463279
FR0000120271;TOTAL S.A.;PHILIPPE SAUQUET, Membre du Comité exécutif;2016-10-31;Souscription;FIE - TOTAL ACTIONNARIAT FRANCE;43.6797;0;32;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=e8cec6f0-d7f2-4c0f-ab03-8d3e266238eb&famille=BDIF&bdifId=872364DD7102_2017DD463278
FR0000120271;TOTAL S.A.;PHILIPPE SAUQUET, Membre du Comité exécutif;2016-10-07;Acquisition;FIE - TOTAL ACTIONNARIAT FRANCE;42.8901;138;5930;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=f9b015b2-1cf5-46f7-950a-4edae43020d8&famille=BDIF&bdifId=772364DD7102_2017DD463277
FR0000120271;TOTAL S.A.;PHILIPPE SAUQUET, Membre du Comité exécutif;2016-09-30;Souscription;Parts de Fonds Commun de Placement d'Entreprise - Fonds D'Actionnariat;42.7414;0;32;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=ed1af8f2-7b66-429d-a138-0ffceb5f4c3d&famille=BDIF&bdifId=572364DD7102_2017DD463275
FR0000120271;TOTAL S.A.;PATRICK POUYANNE, Membre du Comité exécutif;2016-10-07;Acquisition;FIE - TOTAL ACTIONNARIAT FRANCE;42.8901;104;4500;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=6e52f449-f5b7-4377-93cc-65bf373aa6e1&famille=BDIF&bdifId=372364DD7102_2017DD463273
FR0000121667;ESSILOR INTERNATIONAL;Carol XUEREF, Secrétaire Générale;2017-01-17;Cession;Action;114.0;2000;228000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=706dad29-59da-4019-8755-133cc84ed65c&famille=BDIF&bdifId=272364DD7102_2017DD463272
FR0000120271;TOTAL S.A.;PATRICK POUYANNE, Membre du Comité exécutif;2017-01-05;Acquisition;"&#160;FIE - TOTAL ACTIONNARIAT France";48.8811;97;4746;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=35223b35-bac3-4016-b8b8-c0b343ca4d0c&famille=BDIF&bdifId=172364DD7102_2017DD463271
FR0011191287;PHARNEXT;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-19;Cession;Action;9.4892;3261;30944;0.031575797142857145;Euros;http://www.amf-france.org/technique/multimedia?docId=b1159fac-bc62-4b28-8a17-1ca454e6a342&famille=BDIF&bdifId=072364DD7102_2017DD463270
FR0010879056;DEINOVE;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-19;Cession;Action;2.122;20958;44472;0.23406776842105262;Euros;http://www.amf-france.org/technique/multimedia?docId=3e9be839-edb0-4314-b696-d88832494004&famille=BDIF&bdifId=962364DD7102_2017DD463269
FR0010907956;CARMAT;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-19;Cession;Action;29.2516;622;18194;0.01045660643678161;Euros;http://www.amf-france.org/technique/multimedia?docId=c5b2cf4f-7ac2-45e6-9f72-2cf02f225e6b&famille=BDIF&bdifId=862364DD7102_2017DD463268
FR0000035818;ESKER;Jean-Michel BERARD, Président du Directoire;2017-01-19;Cession;Action;49.5627;474;23492;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=4573b1ee-5b4f-4f1b-9fb3-890e2844216c&famille=BDIF&bdifId=642364DD7102_2017DD463246
FR0013053535;MILIBOO;Aline BUSCEMI LACHENAL, Administrateur;2017-01-12;Cession;Action;2.85;100;285;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=7c224ed8-3f84-4b0f-a499-dbf4a109c5d3&famille=BDIF&bdifId=142364DD7102_2017DD463241
FR0013053535;MILIBOO;Aline BUSCEMI LACHENAL, Administrateur;2017-01-17;Cession;Action;2.8235;1780;5025;0.038660230769230766;Euros;http://www.amf-france.org/technique/multimedia?docId=7c224ed8-3f84-4b0f-a499-dbf4a109c5d3&famille=BDIF&bdifId=142364DD7102_2017DD463241
FR0013053535;MILIBOO;Aline BUSCEMI LACHENAL, Administrateur;2017-01-18;Cession;Action;2.7888;25319;70609;0.5431509784615385;Euros;http://www.amf-france.org/technique/multimedia?docId=7c224ed8-3f84-4b0f-a499-dbf4a109c5d3&famille=BDIF&bdifId=142364DD7102_2017DD463241
FR0013053535;MILIBOO;Aline BUSCEMI LACHENAL, Administrateur;2017-01-19;Cession;Action;2.8;173;484;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=7c224ed8-3f84-4b0f-a499-dbf4a109c5d3&famille=BDIF&bdifId=142364DD7102_2017DD463241
FR0013053535;MILIBOO;Aline BUSCEMI LACHENAL, Administrateur;2017-01-20;Cession;Action;2.75;66;181;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=7c224ed8-3f84-4b0f-a499-dbf4a109c5d3&famille=BDIF&bdifId=142364DD7102_2017DD463241
FR0010207795;HARVEST;HARVEST GROUP SAS, Holding;2017-01-12;Acquisition;Action;56.76;3833;217561;0.27195135;Euros;http://www.amf-france.org/technique/multimedia?docId=803fa9f0-f1cf-48be-bc17-07a33c5567b8&famille=BDIF&bdifId=042364DD7102_2017DD463240
FR0000120271;TOTAL S.A.;NAMITA SHAH, Membre du Comité exécutif;2016-12-30;Souscription;"&#160;FIE - TOTAL ACTIONNARIAT France";49.284;1;66;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=3fce77b9-a715-40bf-a4e1-2c8d0456b53d&famille=BDIF&bdifId=622364DD7102_2017DD463226
FR0000120271;TOTAL S.A.;NAMITA SHAH, Membre du Comité exécutif;2016-11-30;Souscription;"&#160;FIE - TOTAL ACTIONNARIAT France";44.9134;1;66;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=6dfaa8db-2cb5-4a2e-88d2-5e168dca43d9&famille=BDIF&bdifId=522364DD7102_2017DD463225
FR0000120271;TOTAL S.A.;NAMITA SHAH, Membre du Comité exécutif;2016-10-31;Souscription;FIE - TOTAL ACTIONNARIAT FRANCE;43.6797;1;66;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=13e26bd2-4f40-4afd-a860-e090f94e5c73&famille=BDIF&bdifId=222364DD7102_2017DD463222
FR0004034593;FASHION BEL AIR;Eric SITRUK, PRESIDENT;2017-01-20;Acquisition;Action;0.78;20000;15600;0.13;Euros;http://www.amf-france.org/technique/multimedia?docId=9eb12298-ca06-4a65-a07c-27df1496c9dc&famille=BDIF&bdifId=322364DD7102_2017DD463223
FR0000120271;TOTAL S.A.;NAMITA SHAH, Membre du Comité exécutif;2016-10-07;Acquisition;FIE - TOTAL ACTIONNARIAT FRANCE;42.8928;11;511;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=7e372690-a226-45c6-a965-ee3d40bbc072&famille=BDIF&bdifId=122364DD7102_2017DD463221
FR0000120271;TOTAL S.A.;NAMITA SHAH, Membre du Comité exécutif;2016-09-30;Souscription;Parts de Fonds Commun de Placement d'Entreprise - Fonds D'Actionnariat;42.7414;1;66;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=464e1d9d-2c21-4913-9acc-3c6e7d041b8a&famille=BDIF&bdifId=112364DD7102_2017DD463211
FR0011051598;AMOEBA;Goulpeau Jacques , Directeur des opérations;2017-01-16;Exercice;BSPCE;3.0;5000;15000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=3946bb08-f1a1-44f9-b634-7959cdfb3a5a&famille=BDIF&bdifId=012364DD7102_2017DD463210
FR0011742329;MC PHY ENERGY;Pascal MAUBERGER, Président-Directeur Général;2017-01-23;Cession;Action;5.9;20000;118000;0.2565217391304348;Euros;http://www.amf-france.org/technique/multimedia?docId=1788f301-59af-4c24-8b60-99cd4eb9a9d2&famille=BDIF&bdifId=044364DD7102_2017DD463440
FR0012435121;ELIS;XAVIER MARTIRE, Président du Directoire;2017-01-23;Cession;VENTE DE DROITS PREFERENTIELS DE SOUSCRIPTION;0.9018;19500;17585;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=81ee8b14-3eeb-41cc-84b0-abfb52a3f4c3&famille=BDIF&bdifId=934364DD7102_2017DD463439
FR0012435121;ELIS;XAVIER MARTIRE, Président du Directoire;2017-01-23;Cession;VENTE DE DROITS PREFERENTIELS DE SOUSCRIPTION;0.9745;26000;25337;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=797a8493-a164-4deb-ba70-ad6563695a17&famille=BDIF&bdifId=834364DD7102_2017DD463438
FR0012435121;ELIS;XAVIER MARTIRE, Président du Directoire;2017-01-24;Cession;VENTE DE DROITS PREFERENTIELS DE SOUSCRIPTION;1.04;200;208;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=8b75657a-c94c-4684-b456-134df18e55d8&famille=BDIF&bdifId=634364DD7102_2017DD463436
FR0000121667;ESSILOR INTERNATIONAL;Maureen CAVANAGH, administrateur;2017-01-23;Acquisition;Action;123.9744;14;1735;0.0;Dollars;http://www.amf-france.org/technique/multimedia?docId=1d555fc1-76e7-4de2-8679-353e9c195342&famille=BDIF&bdifId=134364DD7102_2017DD463431
FR0010533075;GROUPE EUROTUNNEL SE;Jacques Gounon, Secrétaire du conseil;2017-01-05;Exercice;Option d'achat;6.419988501341511;20872;133998;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=cb72d9fd-510e-4c3b-a654-4883f98917b4&famille=BDIF&bdifId=824364DD7102_2017DD463428
FR0011648716;CARBIOS;Jean-Claude Lumaret, Directeur Général;2016-02-01;Exercice;Action;1.0;10000;10000;0.037037037037037035;Euros;http://www.amf-france.org/technique/multimedia?docId=3e0a862e-2f50-40b4-93fc-ed1fb82b07c7&famille=BDIF&bdifId=914364DD7102_2017DD463419
FR0011648716;CARBIOS;Jean-Claude Lumaret, Directeur Général;2017-01-20;Cession;Action;7.7226;4750;36682;0.13586055555555557;Euros;http://www.amf-france.org/technique/multimedia?docId=b9b60b6c-9b5d-4a6e-99b1-355e5d302c70&famille=BDIF&bdifId=504364DD7102_2017DD463405
FR0011191287;PHARNEXT;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-20;Cession;Action;9.4874;1718;16299;0.01663199306122449;Euros;http://www.amf-france.org/technique/multimedia?docId=99decc1c-8dc5-4574-bcc9-e5bb1d6238f4&famille=BDIF&bdifId=404364DD7102_2017DD463404
FR0010879056;DEINOVE;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-20;Cession;Action;2.1098;26964;56888;0.29941393263157895;Euros;http://www.amf-france.org/technique/multimedia?docId=fc4a2437-46a1-4e7b-92c7-e9db0a4cc51c&famille=BDIF&bdifId=304364DD7102_2017DD463403
FR0010907956;CARMAT;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-20;Cession;Action;29.3467;375;11005;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=40bf7423-371c-4d4a-af2f-9166a4acfaf3&famille=BDIF&bdifId=204364DD7102_2017DD463402
FR0010785790;PLANT ADVANCED TECHNOLOGIES;eric louis joseph gontier, membre du conseil d'administration, cofondateur;2017-01-23;Cession;Action;20.0;150;3000;0.01764705882352941;Euros;http://www.amf-france.org/technique/multimedia?docId=7cced544-6c63-4acd-b6db-557493ee0fbf&famille=BDIF&bdifId=053364DD7102_2017DD463350
FR0000066755;HAULOTTE GROUP;Patrice Metairie, Directeur de l'Industrie;2017-01-20;Cession;Action;14.9;977;14557;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=21d0c64e-4cda-49ad-92f6-cee3a8c823d6&famille=BDIF&bdifId=933364DD7102_2017DD463339
FR0004035913;ILIAD;Ecole ASSOCIATION42 personne liée à Xavier NIEL, Dirigeant;2017-01-17;Cession;Action;185.0411;3250;601383;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=83a682c6-c005-4b15-82cb-601f8f3744cc&famille=BDIF&bdifId=733364DD7102_2017DD463337
FR0012333284;ABIVAX;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-01-20;Cession;Action;5.9991;3105;18627;0.03652393235294118;Euros;http://www.amf-france.org/technique/multimedia?docId=b748d7d6-ea36-44b9-8143-09eaf706d895&famille=BDIF&bdifId=233364DD7102_2017DD463332
FR0011742329;MC PHY ENERGY;Grégory WAGEMANS, Directeur Général Adjoint - Finance;2017-01-18;Cession;Action;6.259;8000;50072;0.10885217391304348;Euros;http://www.amf-france.org/technique/multimedia?docId=ed87e59b-c4d8-416c-93b0-c47d01be514d&famille=BDIF&bdifId=133364DD7102_2017DD463331
FR0011051598;AMOEBA;VALERIE FILIATRE, D.A.F;2017-01-25;Exercice;BSPCE;150.0;2500;375000;0.2245508982035928;Euros;http://www.amf-france.org/technique/multimedia?docId=5fa103c2-df19-4d82-92e7-519622ecd824&famille=BDIF&bdifId=465364DD7102_2017DD463564
FR0010313486;PRODWARE;STEPHANE CONRARD, ADMINISTRATEUR;2016-10-31;Cession;Action;7.149786573535119;2577;18425;0.03476415094339623;Euros;http://www.amf-france.org/technique/multimedia?docId=7651513f-c0ea-44b3-8288-dd27343d0549&famille=BDIF&bdifId=755364DD7102_2017DD463557
FR0010313486;PRODWARE;STEPHANE CONRARD, ADMINISTRATEUR;2016-11-16;Cession;Action;6.954754098360656;4575;31818;0.06003396226415094;Euros;http://www.amf-france.org/technique/multimedia?docId=58a3f6a5-d483-4542-af62-292d9facfe68&famille=BDIF&bdifId=455364DD7102_2017DD463554
FR0010313486;PRODWARE;STEPHANE CONRARD, ADMINISTRATEUR;2016-10-28;Cession;Action;7.207046251461012;5989;43163;0.08143962264150943;Euros;http://www.amf-france.org/technique/multimedia?docId=3162f823-4bb3-4f53-8d02-9c00f72347f9&famille=BDIF&bdifId=345364DD7102_2017DD463543
FR0010313486;PRODWARE;STEPHANE CONRARD, ADMINISTRATEUR;2016-08-19;Acquisition;Action;6.579947229551451;1895;12469;0.02352641509433962;Euros;http://www.amf-france.org/technique/multimedia?docId=7e050441-2b1e-43e1-abb3-434d94ccc279&famille=BDIF&bdifId=835364DD7102_2017DD463538
FR0010313486;PRODWARE;STEPHANE CONRARD, ADMINISTRATEUR;2016-08-17;Acquisition;Action;6.6127016129032254;4960;32799;0.06188490566037736;Euros;http://www.amf-france.org/technique/multimedia?docId=cd5dbb77-d7e8-4c40-9698-c25f6cc347bb&famille=BDIF&bdifId=735364DD7102_2017DD463537
